Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 01 01 00	13.6	2
2010 01 01 01	13.6	2
2010 01 01 02	13.6	2
2010 01 01 03	13.6	2
2010 01 01 04	13.6	2
2010 01 01 05	13.6	2
2010 01 01 06	13.6	2
2010 01 01 07	13.6	2
2010 01 01 08	13.6	2
2010 01 01 09	13.6	2
2010 01 01 10	13.6	2
2010 01 01 11	13.6	2
2010 01 01 12	13.6	2
2010 01 01 13	13.6	2
2010 01 01 14	13.6	2
2010 01 01 15	13.6	2
2010 01 01 16	13.6	2
2010 01 01 17	13.6	2
2010 01 01 18	13.6	2
2010 01 01 19	13.6	2
2010 01 01 20	13.6	2
2010 01 01 21	13.6	2
2010 01 01 22	13.5	2
2010 01 01 23	13.5	2
2010 01 02 00	13.6	2
2010 01 02 01	13.5	2
2010 01 02 02	13.5	2
2010 01 02 03	13.5	2
2010 01 02 04	13.5	2
2010 01 02 05	13.5	2
2010 01 02 06	13.5	2
2010 01 02 07	13.4	2
2010 01 02 08	13.4	2
2010 01 02 09	13.4	2
2010 01 02 10	13.5	2
2010 01 02 11	13.5	2
2010 01 02 12	13.5	2
2010 01 02 13	13.5	2
2010 01 02 14	13.5	2
2010 01 02 15	13.5	2
2010 01 02 16	13.5	2
2010 01 02 17	13.5	2
2010 01 02 18	13.5	2
2010 01 02 19	13.5	2
2010 01 02 20	13.5	2
2010 01 02 21	13.5	2
2010 01 02 22	13.5	2
2010 01 02 23	13.5	2
2010 01 03 00	13.4	2
2010 01 03 01	13.4	2
2010 01 03 02	13.4	2
2010 01 03 03	13.4	2
2010 01 03 04	13.4	2
2010 01 03 05	13.4	2
2010 01 03 06	13.4	2
2010 01 03 07	13.4	2
2010 01 03 08	13.4	2
2010 01 03 09	13.4	2
2010 01 03 10	13.4	2
2010 01 03 11	13.4	2
2010 01 03 12	13.4	2
2010 01 03 13	13.4	2
2010 01 03 14	13.4	2
2010 01 03 15	13.4	2
2010 01 03 16	13.3	2
2010 01 03 17	13.4	2
2010 01 03 18	13.4	2
2010 01 03 19	13.4	2
2010 01 03 20	13.4	2
2010 01 03 21	13.4	2
2010 01 03 22	13.4	2
2010 01 03 23	13.4	2
2010 01 04 00	13.4	2
2010 01 04 01	13.4	2
2010 01 04 02	13.3	2
2010 01 04 03	13.3	2
2010 01 04 04	13.4	2
2010 01 04 05	13.4	2
2010 01 04 06	13.3	2
2010 01 04 07	13.3	2
2010 01 04 08	13.3	2
2010 01 04 09	13.3	2
2010 01 04 10	13.3	2
2010 01 04 11	13.4	2
2010 01 04 12	13.4	2
2010 01 04 13	13.3	2
2010 01 04 14	13.3	2
2010 01 04 15	13.4	2
2010 01 04 16	13.3	2
2010 01 04 17	13.3	2
2010 01 04 18	13.3	2
2010 01 04 19	13.3	2
2010 01 04 20	13.3	2
2010 01 04 21	13.3	2
2010 01 04 22	13.3	2
2010 01 04 23	13.3	2
2010 01 05 00	13.3	2
2010 01 05 01	13.3	2
2010 01 05 02	13.3	2
2010 01 05 03	13.3	2
2010 01 05 04	13.3	2
2010 01 05 05	13.3	2
2010 01 05 06	13.3	2
2010 01 05 07	13.3	2
2010 01 05 08	13.3	2
2010 01 05 09	13.3	2
2010 01 05 10	13.3	2
2010 01 05 11	13.3	2
2010 01 05 12	13.3	2
2010 01 05 13	13.3	2
2010 01 05 14	13.3	2
2010 01 05 15	13.3	2
2010 01 05 16	13.3	2
2010 01 05 17	13.3	2
2010 01 05 18	13.3	2
2010 01 05 19	13.3	2
2010 01 05 20	13.2	2
2010 01 05 21	13.2	2
2010 01 05 22	13.1	2
2010 01 05 23	13.1	2
2010 01 06 00	13.1	2
2010 01 06 01	13.2	2
2010 01 06 02	13.1	2
2010 01 06 03	13.1	2
2010 01 06 04	13.2	2
2010 01 06 05	13.2	2
2010 01 06 06	13.2	2
2010 01 06 07	13.2	2
2010 01 06 08	13.2	2
2010 01 06 09	13.2	2
2010 01 06 10	13.1	2
2010 01 06 11	13.1	2
2010 01 06 12	13.1	2
2010 01 06 13	13.0	2
2010 01 06 14	13.1	2
2010 01 06 15	13.2	2
2010 01 06 16	13.2	2
2010 01 06 17	13.1	2
2010 01 06 18	13.0	2
2010 01 06 19	13.0	2
2010 01 06 20	13.0	2
2010 01 06 21	13.0	2
2010 01 06 22	13.0	2
2010 01 06 23	13.0	2
2010 01 07 00	13.0	2
2010 01 07 01	13.0	2
2010 01 07 02	13.0	2
2010 01 07 03	12.9	2
2010 01 07 04	13.0	2
2010 01 07 05	13.0	2
2010 01 07 06	12.9	2
2010 01 07 07	12.9	2
2010 01 07 08	12.9	2
2010 01 07 09	12.9	2
2010 01 07 10	13.0	2
2010 01 07 11	12.9	2
2010 01 07 12	12.9	2
2010 01 07 13	12.9	2
2010 01 07 14	12.8	2
2010 01 07 15	12.9	2
2010 01 07 16	12.9	2
2010 01 07 17	13.0	2
2010 01 07 18	12.9	2
2010 01 07 19	12.9	2
2010 01 07 20	12.9	2
2010 01 07 21	12.9	2
2010 01 07 22	12.8	2
2010 01 07 23	12.8	2
2010 01 08 00	12.9	2
2010 01 08 01	12.9	2
2010 01 08 02	12.9	2
2010 01 08 03	12.9	2
2010 01 08 04	12.9	2
2010 01 08 05	13.0	2
2010 01 08 06	13.0	2
2010 01 08 07	13.0	2
2010 01 08 08	13.0	2
2010 01 08 09	13.0	2
2010 01 08 10	13.0	2
2010 01 08 11	13.0	2
2010 01 08 12	12.9	2
2010 01 08 13	12.9	2
2010 01 08 14	12.9	2
2010 01 08 15	12.9	2
2010 01 08 16	12.9	2
2010 01 08 17	12.9	2
2010 01 08 18	13.0	2
2010 01 08 19	13.0	2
2010 01 08 20	13.0	2
2010 01 08 21	13.0	2
2010 01 08 22	12.9	2
2010 01 08 23	12.8	2
2010 01 09 00	12.8	2
2010 01 09 01	12.9	2
2010 01 09 02	12.8	2
2010 01 09 03	12.8	2
2010 01 09 04	12.8	2
2010 01 09 05	12.8	2
2010 01 09 06	12.8	2
2010 01 09 07	12.8	2
2010 01 09 08	12.7	2
2010 01 09 09	12.7	2
2010 01 09 10	12.7	2
2010 01 09 11	12.7	2
2010 01 09 12	12.6	2
2010 01 09 13	12.6	2
2010 01 09 14	12.6	2
2010 01 09 15	12.6	2
2010 01 09 16	12.6	2
2010 01 09 17	12.7	2
2010 01 09 18	12.7	2
2010 01 09 19	12.7	2
2010 01 09 20	12.7	2
2010 01 09 21	12.7	2
2010 01 09 22	12.7	2
2010 01 09 23	12.7	2
2010 01 10 00	12.7	2
2010 01 10 01	12.6	2
2010 01 10 02	12.7	2
2010 01 10 03	12.7	2
2010 01 10 04	12.7	2
2010 01 10 05	12.6	2
2010 01 10 06	12.7	2
2010 01 10 07	12.9	2
2010 01 10 08	12.9	2
2010 01 10 09	12.9	2
2010 01 10 10	12.7	2
2010 01 10 11	12.5	2
2010 01 10 12	12.6	2
2010 01 10 13	12.5	2
2010 01 10 14	12.5	2
2010 01 10 15	12.6	2
2010 01 10 16	12.5	2
2010 01 10 17	12.5	2
2010 01 10 18	12.5	2
2010 01 10 19	12.5	2
2010 01 10 20	12.5	2
2010 01 10 21	12.5	2
2010 01 10 22	12.5	2
2010 01 10 23	12.6	2
2010 01 11 00	12.6	2
2010 01 11 01	12.5	2
2010 01 11 02	12.5	2
2010 01 11 03	12.5	2
2010 01 11 04	12.5	2
2010 01 11 05	12.5	2
2010 01 11 06	12.5	2
2010 01 11 07	12.5	2
2010 01 11 08	12.5	2
2010 01 11 09	12.5	2
2010 01 11 10	12.5	2
2010 01 11 11	12.6	2
2010 01 11 12	12.7	2
2010 01 11 13	12.7	2
2010 01 11 14	12.6	2
2010 01 11 15	12.6	2
2010 01 11 16	12.6	2
2010 01 11 17	12.6	2
2010 01 11 18	12.7	2
2010 01 11 19	12.6	2
2010 01 11 20	12.7	2
2010 01 11 21	12.8	2
2010 01 11 22	12.7	2
2010 01 11 23	12.7	2
2010 01 12 00	12.7	2
2010 01 12 01	12.7	2
2010 01 12 02	12.7	2
2010 01 12 03	12.7	2
2010 01 12 04	12.7	2
2010 01 12 05	12.7	2
2010 01 12 06	12.5	2
2010 01 12 07	12.5	2
2010 01 12 08	12.5	2
2010 01 12 09	12.5	2
2010 01 12 10	12.5	2
2010 01 12 11	12.5	2
2010 01 12 12	12.5	2
2010 01 12 13	12.5	2
2010 01 12 14	12.5	2
2010 01 12 15	12.5	2
2010 01 19 15	12.9	2
2010 01 19 16	12.9	2
2010 01 19 17	12.9	2
2010 01 19 18	12.9	2
2010 01 19 19	12.9	2
2010 01 19 20	12.9	2
2010 01 19 21	12.9	2
2010 01 19 22	12.9	2
2010 01 19 23	12.9	2
2010 01 20 00	12.9	2
2010 01 20 01	12.8	2
2010 01 20 02	12.8	2
2010 01 20 03	12.9	2
2010 01 20 04	12.9	2
2010 01 20 05	12.9	2
2010 01 20 06	12.9	2
2010 01 20 07	12.9	2
2010 01 20 08	12.9	2
