Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 01 01 00	14.6	2
2010 01 01 01	14.6	2
2010 01 01 02	14.6	2
2010 01 01 03	14.6	2
2010 01 01 04	14.6	2
2010 01 01 05	14.6	2
2010 01 01 06	14.6	2
2010 01 01 07	14.7	2
2010 01 01 08	14.7	2
2010 01 01 09	14.7	2
2010 01 01 10	14.7	2
2010 01 01 11	14.7	2
2010 01 01 12	14.7	2
2010 01 01 13	14.7	2
2010 01 01 14	14.7	2
2010 01 01 15	14.7	2
2010 01 01 16	14.7	2
2010 01 01 17	14.7	2
2010 01 01 18	14.7	2
2010 01 01 19	14.7	2
2010 01 01 20	14.7	2
2010 01 01 21	14.7	2
2010 01 01 22	14.7	2
2010 01 01 23	14.7	2
2010 01 02 00	14.7	2
2010 01 02 01	14.7	2
2010 01 02 02	14.6	2
2010 01 02 03	14.6	2
2010 01 02 04	14.6	2
2010 01 02 05	14.7	2
2010 01 02 06	14.7	2
2010 01 02 07	14.7	2
2010 01 02 08	14.7	2
2010 01 02 09	14.7	2
2010 01 02 10	14.7	2
2010 01 02 11	14.7	2
2010 01 02 12	14.7	2
2010 01 02 13	14.7	2
2010 01 02 14	14.6	2
2010 01 02 15	14.6	2
2010 01 02 16	14.7	2
2010 01 02 17	14.8	2
2010 01 02 18	14.7	2
2010 01 02 19	14.7	2
2010 01 02 20	14.7	2
2010 01 02 21	14.7	2
2010 01 02 22	14.7	2
2010 01 02 23	14.7	2
2010 01 03 00	14.6	2
2010 01 03 01	14.6	2
2010 01 03 02	14.7	2
2010 01 03 03	14.7	2
2010 01 03 04	14.7	2
2010 01 03 05	14.7	2
2010 01 03 06	14.6	2
2010 01 03 07	14.6	2
2010 01 03 08	14.6	2
2010 01 03 09	14.6	2
2010 01 03 10	14.6	2
2010 01 03 11	14.6	2
2010 01 03 12	14.6	2
2010 01 03 13	14.6	2
2010 01 03 14	14.6	2
2010 01 03 15	14.6	2
2010 01 03 16	14.6	2
2010 01 03 17	14.6	2
2010 01 03 18	14.7	2
2010 01 03 19	14.9	2
2010 01 03 20	15.0	2
2010 01 03 21	14.9	2
2010 01 03 22	14.9	2
2010 01 03 23	14.9	2
2010 01 04 00	14.9	2
2010 01 04 01	14.9	2
2010 01 04 02	14.9	2
2010 01 04 03	14.6	2
2010 01 04 04	14.6	2
